;model_output_id;model_id;image_group_id;image_id_1;image_id_1_species_name;image_id_1_conf;image_id_1_count;image_id_1_blank;image_id_1_detectable;image_id_2;image_id_2_species_name;image_id_2_conf;image_id_2_count;image_id_2_blank;image_id_2_detectable;image_id_3;image_id_3_species_name;image_id_3_conf;image_id_3_count;image_id_3_blank;image_id_3_detectable;load_date;image_id_1_bbox;image_id_2_bbox;image_id_3_bbox
98;5098;5;SSWI000000023002499;C;;;1;False;False;A;;;1;False;False;B;;;1;False;False;2021-11-10;0.3034,0.6817,0.3232,0.2476;0.8238,0.6683,0.2163,0.2078;0.4733,0.6695,0.2891,0.235
99;5099;5;SSWI000000007234793;B;;;1;False;False;A;;;1;False;False;C;;;1;False;False;2021-11-10;0.7293,0.8194,0.06031,0.2127;0.7285,0.8224,0.06135,0.2152;0.7303,0.8177,0.05702,0.2059
100;5100;5;SSWI000000018625721;C;;;1;False;False;B;;;1;False;False;A;;;0;True;False;2021-11-10;0.4888,0.5931,0.9677,0.8029;0.522,0.4888,0.9558,0.9492;
101;5101;5;SSWI000000020504724;A;;;1;False;False;B;;;1;False;False;C;;;1;False;False;2021-11-10;0.2478,0.5084,0.4598,0.4232;0.397,0.5169,0.3679,0.4061;0.5216,0.5161,0.3223,0.3688
102;5102;5;SSWI000000020364578;B;;;1;False;False;A;;;4;False;False;C;;;4;False;False;2021-11-10;0.2373,0.8061,0.2722,0.3861;"0.2081,0.8101,0.3444,0.3791;0.5826,0.6999,0.07864,0.05151;0.599,0.6957,0.05312,0.04411;0.5624,0.7009,0.05053,0.05071";"0.2258,0.8087,0.2936,0.3824;0.5823,0.6968,0.08445,0.05077;0.5914,0.6949,0.05934,0.04295;0.563,0.6986,0.05012,0.05013"
103;5103;5;SSWI000000020163513;C;;;1;False;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;0.7798,0.7433,0.4338,0.4313;0.8261,0.7611,0.3475,0.4485;0.9779,0.5911,0.03954,0.07107
104;5104;5;SSWI000000020365585;C;;;1;False;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;0.3073,0.7743,0.4118,0.2934;0.2548,0.7674,0.3427,0.3088;0.0809,0.7632,0.1582,0.2787
105;5105;5;SSWI000000019065025;B;;;0;True;False;A;;;0;True;False;C;;;0;True;False;2021-11-10;;;
106;5106;5;SSWI000000018771088;C;;;1;False;False;A;;;1;False;False;B;;;1;False;False;2021-11-10;0.4087,0.5344,0.8173,0.931;0.2919,0.4925,0.5839,0.985;0.3542,0.5003,0.7084,0.9992
107;5107;5;SSWI000000011171809;A;;;1;False;False;C;;;1;False;False;B;;;1;False;False;2021-11-10;0.8313,0.7732,0.335,0.4411;0.4574,0.6099,0.05721,0.1903;0.4802,0.6542,0.09008,0.2425
108;5108;5;SSWI000000016467505;C;;;0;True;False;A;;;1;False;False;B;;;1;False;False;2021-11-10;;0.4823,0.7818,0.2298,0.4358;0.1229,0.543,0.1283,0.2762
