image_group_id,blank,consol_dict_model_3,consol_dict_model_4,event_final_topk_conf,species,md_count_max,yolo_count_max,md_bbox,yolo_bbox
2039399,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.861733078956604, 0.8991274237632751, 0.8861008882522583]}","{'blank': 0.99, 'coyote': 0.044738383342822395, 'turkey': 0.02850389418502649}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2039423,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.9319510459899902, 0.8957381844520569, 0.8837116360664368]}","{'blank': 0.99, 'turkey': 0.029058223590254784, 'coyote': 0.024121147580444813}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2039621,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.4635593593120575, 0.8016511797904968], 'coyote': [0.3095220923423767]}","{'blank': 0.99, 'turkey': 0.26242415110270184, 'coyote': 0.2579350769519806}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2040189,True,"{'blank': [0.99, 0.99, 0.99]}","{'foxgray_foxred': [0.37042373418807983, 0.2894119620323181, 0.4992099404335022]}","{'blank': 0.99, 'foxgray_foxred': 0.4160082836945852, 'deer': 0.22010751068592072}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2040970,False,"{'cottontail_snowshoehare': [0.665039063, 0.581542969, 0.446044922]}","{'cottontail_snowshoehare': [0.4077652096748352, 0.6129592657089233, 0.5613021850585938]}","{'cottontail_snowshoehare': 0.7980468756, 'foxgray_foxred': 0.2817007899284363, 'raccoon': 0.0441499458005031}",cottontail_snowshoehare,2,1,"{'A': [], 'B': ['0.5377,0.8481,0.1288,0.1069', '0.5601,0.8488,0.1797,0.1293'], 'C': []}","{'A': [['0.5177556649529825,0.8899147474294737,0.0859375,0.09090917523508739']], 'B': [['0.5174005618573685,0.8835227061912282,0.08735795876175437,0.07954541238245631']], 'C': [['0.5138494149529825,0.8892044948589476,0.0859375,0.08238632990596505']]}"
2041655,True,"{'blank': [0.99, 0.99, 0.99]}","{'bear': [0.4862325191497803], 'turkey': [0.38915371894836426, 0.7255240678787231]}","{'blank': 0.99, 'turkey': 0.604603389898936, 'bear': 0.40519376595815026}",turkey,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2042734,True,"{'blank': [0.99, 0.99, 0.99]}","{'coyote': [0.32184523344039917, 0.27639123797416687], 'foxgray_foxred': [0.2565206289291382]}","{'blank': 0.99, 'coyote': 0.26820436120033264, 'foxgray_foxred': 0.2677173912525177}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2042917,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.33147501945495605, 0.26975393295288086], 'bear': [0.4045001268386841]}","{'blank': 0.99, 'bear': 0.33708343903223675, 'turkey': 0.2726639310518901}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2043970,False,"{'turkey': [0.592285156, 0.402099609, 0.615722656]}","{'elk': [0.4931173026561737, 0.6841436624526978, 0.5692501664161682]}","{'turkey': 0.7388671872, 'elk': 0.5701197187105815, 'bear': 0.04115695133805275}",turkey,0,1,"{'A': [], 'B': [], 'C': []}","{'A': [['0.46946022938087717,0.8544033711442107,0.1051136237147369,0.10653408247649127']], 'B': [['0.46874997681035097,0.8565340824764912,0.09943178866771941,0.10511367009403495']], 'C': [['0.4680397474294738,0.8558238299059651,0.10369316495298252,0.10369316495298252']]}"
2046082,True,"{'blank': [0.99, 0.99, 0.99]}","{'foxgray_foxred': [0.9446843266487122, 0.9019211530685425, 0.9753125905990601]}","{'blank': 0.99, 'foxgray_foxred': 0.8127604921658834, 'bear': 0.017422364714245003}",foxgray_foxred,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2046088,True,"{'blank': [0.99, 0.99, 0.99]}","{'foxgray_foxred': [0.8902298212051392, 0.9353022575378418, 0.8167659640312195]}","{'blank': 0.99, 'foxgray_foxred': 0.7794185479482015, 'raccoon': 0.035867399225632354}",foxgray_foxred,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2046714,False,"{'elk': [0.266845703, 0.296142578], 'blank': [0.99]}","{'blank': [0.3601522147655487, 0.2787027657032013], 'elk': [0.3500747084617615]}","{'elk': 0.35537109359999997, 'turkey': 0.18488810708125433, 'coyote': 0.11816654354333878}",elk,0,1,"{'A': [], 'B': [], 'C': []}","{'A': [['0.6983309574764912,0.5440340824764912,0.06640625,0.06463066495298252']], 'B': [['0.6986860605721054,0.5450994149529825,0.06569604380877185,0.05965908247649126']], 'C': []}"
2046820,True,"{'blank': [0.99, 0.99, 0.99]}","{'turkey': [0.5220668911933899, 0.5385435223579407, 0.4244677424430847]}","{'blank': 0.99, 'turkey': 0.44878626863161725, 'coyote': 0.13179976493120193}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2047126,True,"{'blank': [0.99, 0.99, 0.99]}","{'turkey': [0.5468149781227112, 0.5896214246749878, 0.5313616394996643]}","{'blank': 0.99, 'turkey': 0.4913511872291565, 'bear': 0.09965177004535994}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2048227,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.5042192339897156], 'foxgray_foxred': [0.5316179394721985, 0.52444988489151]}","{'blank': 0.99, 'foxgray_foxred': 0.4430149495601654, 'coyote': 0.1568142076333364}",blank,1,0,"{'A': ['0.3001,0.5351,0.1368,0.0966'], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2050269,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.891012966632843, 0.8947557210922241, 0.8467783331871033]}","{'blank': 0.99, 'turkey': 0.09538372357686362, 'wolf': 0.010897085691491764}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2050721,False,"{'blank': [0.99, 0.99], 'foxgray_foxred': [0.265136719]}","{'cottontail_snowshoehare': [0.9891855716705322, 0.9845331311225891, 0.9920974969863892]}","{'cottontail_snowshoehare': 0.8267479141553243, 'foxgray_foxred': 0.31816406280000004, 'bear': 0.0023534740709389252}",cottontail_snowshoehare,0,1,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [['0.6431107680485966,0.5330255618573685,0.10227270619122815,0.07670454123824563']], 'C': []}"
2051431,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.7030230760574341, 0.8544821739196777, 0.7030001282691956]}","{'blank': 0.99, 'turkey': 0.14474843939145407, 'foxgray_foxred': 0.039318123211463295}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
