image_group_id,image_id_1,image_id_2,image_id_3,image_id_1_count,image_id_2_count,image_id_3_count,image_id_1_conf,image_id_2_conf,image_id_3_conf,image_id_1_bbox,image_id_2_bbox,image_id_3_bbox,image_id_1_species,image_id_2_species,image_id_3_species,image_id_1_blank,image_id_2_blank,image_id_3_blank,image_id_1_detectable,image_id_2_detectable,image_id_3_detectable,model_id
SSWI000000015519355,A,B,C,1,1,1,0.999,0.999,0.999,"0.6811,0.4263,0.6287,0.8513","0.4828,0.4264,0.6952,0.8238","0.3674,0.4171,0.7138,0.8017",,,,False,False,False,False,False,False,5
SSWI000000015519870,A,B,C,8,5,5,0.996;0.995;0.994;0.982;0.911;0.429;0.187;0.114,0.997;0.997;0.995;0.992;0.658,0.996;0.995;0.994;0.991;0.534,"0.4907,0.4012,0.08896,0.1604;0.0684,0.4398,0.1364,0.2636;0.5523,0.3527,0.05389,0.1377;0.2457,0.4126,0.1254,0.2389;0.1749,0.4302,0.1421,0.1911;0.2087,0.4271,0.1432,0.2194;0.4694,0.3803,0.04724,0.1211;0.5091,0.3664,0.1215,0.1468","0.5448,0.3551,0.04656,0.1338;0.2412,0.4178,0.1033,0.2387;0.0685,0.4451,0.1366,0.2154;0.4913,0.4057,0.07999,0.1555;0.4666,0.3797,0.04597,0.12","0.24,0.4177,0.1059,0.2403;0.0543,0.4556,0.1086,0.2063;0.4902,0.4052,0.08337,0.1537;0.5419,0.3588,0.04742,0.1265;0.4697,0.3804,0.05373,0.1299",,,,False,False,False,False,False,False,5
SSWI000000015519886,A,B,C,1,1,1,0.999,0.999,0.999,"0.2643,0.6033,0.5151,0.7197","0.2626,0.6063,0.51,0.711","0.2248,0.6034,0.4497,0.696",,,,False,False,False,False,False,False,5
SSWI000000015523999,A,B,C,1,0,0,0.176,,,"0.4258,0.6846,0.06755,0.0456",,,,,,False,True,True,False,False,False,5
SSWI000000015550901,A,B,C,1,0,0,0.884,,,"0.8656,0.4435,0.09403,0.1189",,,,,,False,True,True,False,False,False,5
SSWI000000015589155,A,B,C,1,1,1,0.999,0.999,0.999,"0.6385,0.6849,0.1394,0.1936","0.5435,0.6392,0.09485,0.188","0.4912,0.6034,0.09921,0.1277",,,,False,False,False,False,False,False,5
SSWI000000015649131,A,B,C,1,0,0,0.998,,,"0.6247,0.4016,0.06786,0.1007",,,,,,False,True,True,False,False,False,5
SSWI000000015716125,A,B,C,1,0,0,0.997,,,"0.6316,0.5041,0.2272,0.1677",,,,,,False,True,True,False,False,False,5
SSWI000000015723955,A,B,C,1,1,1,0.999,0.999,0.999,"0.4529,0.538,0.2715,0.1764","0.2759,0.5022,0.223,0.1712","0.2658,0.4943,0.2076,0.1681",,,,False,False,False,False,False,False,5
SSWI000000015749707,A,B,C,3,0,0,0.986;0.447;0.261,,,"0.3391,0.6455,0.1748,0.1378;0.3574,0.6298,0.1402,0.09962;0.2836,0.6529,0.2739,0.1545",,,,,,False,True,True,False,False,False,5
SSWI000000015783001,A,B,C,0,0,0,,,,,,,,,,True,True,True,False,False,False,5
SSWI000000015910095,A,B,C,1,2,2,0.999,0.999;0.989,0.999;0.996,"0.8021,0.529,0.1398,0.1941","0.7495,0.5165,0.1498,0.2275;0.9723,0.4788,0.05037,0.1501","0.7462,0.5163,0.1602,0.2248;0.9558,0.4795,0.08238,0.1727",,,,False,False,False,False,False,False,5
SSWI000000015917154,A,B,C,1,1,1,0.126,0.999,0.999,"0.1799,0.7153,0.3431,0.1378","0.5619,0.6126,0.4638,0.2128","0.834,0.607,0.3273,0.1696",,,,False,False,False,False,False,False,5
SSWI000000015935827,A,B,C,0,0,0,,,,,,,,,,True,True,True,False,False,False,5
